Topic,Count,Name,Representation,Representative_Docs
-1,19972,-1_he_and_the_they,"['he', 'and', 'the', 'they', 'was', 'you', 'that', 'to', 'of', 'it']","['29:14 Neither with you only do I make this covenant and this oath; 29:15 But with him that standeth here with us this day before the LORD our God, and also with him that is not here with us this day: 29:16 (For ye know how we have dwelt in the land of Egypt; and how we came through the nations which ye passed by; 29:17 And ye have seen their abominations, and their idols, wood and stone, silver and gold, which were among them:) 29:18 Lest there should be among you man, or woman, or family, or tribe, whose heart turneth away this day from the LORD our God, to go and serve the gods of these nations; lest there should be among you a root that beareth gall and wormwood; 29:19 And it come to pass, when he heareth the words of this curse, that he bless himself in his heart, saying, I shall have peace, though I walk in the imagination of mine heart, to add drunkenness to thirst: 29:20 The LORD will not spare him, but then the anger of the LORD and his jealousy shall smoke against that man, and all the curses that are written in this book shall lie upon him, and the LORD shall blot out his name from under heaven.', '""How is she, Miss Dashwood?--Poor thing! she looks very bad.-- No wonder.  Ay, it is but too true.  He is to be married very soon--a good-for-nothing fellow!  I have no patience with him.  Mrs. Taylor told me of it half an hour ago, and she was told it by a particular friend of Miss Grey herself, else I am sure I should not have believed it; and I was almost ready to sink as it was.  Well, said I, all I can say is, that if this be true, he has used a young lady of my acquaintance abominably ill, and I wish with all my soul his wife may plague his heart out. And so I shall always say, my dear, you may depend on it. I have no notion of men\'s going on in this way; and if ever I meet him again, I will give him such a dressing as he has not had this many a day.  But there is one comfort, my dear Miss Marianne; he is not the only young man in the world worth having; and with your pretty face you will never want admirers.  Well, poor thing!  I won\'t disturb her any longer, for she had better have her cry out at once and have done with.  The Parrys and Sandersons luckily are coming tonight you know, and that will amuse her.""', '""Well, he is coming, you see; good news, I think.  Well, what do you say to it?--I always told you he would be here again soon, did not I?--Anne, my dear, did not I always tell you so, and you would not believe me?--In town next week, you see--at the latest, I dare say; for _she_ is as impatient as the black gentleman when any thing is to be done; most likely they will be there to-morrow or Saturday. As to her illness, all nothing of course.  But it is an excellent thing to have Frank among us again, so near as town.  They will stay a good while when they do come, and he will be half his time with us. This is precisely what I wanted.  Well, pretty good news, is not it? Have you finished it?  Has Emma read it all?  Put it up, put it up; we will have a good talk about it some other time, but it will not do now.  I shall only just mention the circumstance to the others in a common way.""']"
0,2131,0_whale_or_ship_from,"['whale', 'or', 'ship', 'from', 'in', 'the', 'with', 'on', 'all', 'by']","[""Years of the modern! years of the unperform'd! Your horizon rises, I see it parting away for more august dramas, I see not America only, not only Liberty's nation but other nations     preparing, I see tremendous entrances and exits, new combinations, the solidarity     of races, I see that force advancing with irresistible power on the world's stage, (Have the old forces, the old wars, played their parts? are the acts     suitable to them closed?) I see Freedom, completely arm'd and victorious and very haughty,     with Law on one side and Peace on the other, A stupendous trio all issuing forth against the idea of caste; What historic denouements are these we so rapidly approach? I see men marching and countermarching by swift millions, I see the frontiers and boundaries of the old aristocracies broken, I see the landmarks of European kings removed, I see this day the People beginning their landmarks, (all others give way;) Never were such sharp questions ask'd as this day, Never was average man, his soul, more energetic, more like a God, Lo, how he urges and urges, leaving the masses no rest! His daring foot is on land and sea everywhere, he colonizes the     Pacific, the archipelagoes, With the steamship, the electric telegraph, the newspaper, the     wholesale engines of war, With these and the world-spreading factories he interlinks all     geography, all lands; What whispers are these O lands, running ahead of you, passing under     the seas? Are all nations communing? is there going to be but one heart to the globe? Is humanity forming en-masse? for lo, tyrants tremble, crowns grow dim, The earth, restive, confronts a new era, perhaps a general divine war, No one knows what will happen next, such portents fill the days and nights; Years prophetical! the space ahead as I walk, as I vainly try to     pierce it, is full of phantoms, Unborn deeds, things soon to be, project their shapes around me, This incredible rush and heat, this strange ecstatic fever of dreams     O years! Your dreams O years, how they penetrate through me! (I know not     whether I sleep or wake;) The perform'd America and Europe grow dim, retiring in shadow behind me, The unperform'd, more gigantic than ever, advance, advance upon me."", ""Always our old feuillage! Always Florida's green peninsula--always the priceless delta of     Louisiana--always the cotton-fields of Alabama and Texas, Always California's golden hills and hollows, and the silver     mountains of New Mexico--always soft-breath'd Cuba, Always the vast slope drain'd by the Southern sea, inseparable with     the slopes drain'd by the Eastern and Western seas, The area the eighty-third year of these States, the three and a half     millions of square miles, The eighteen thousand miles of sea-coast and bay-coast on the main,     the thirty thousand miles of river navigation, The seven millions of distinct families and the same number of dwellings--     always these, and more, branching forth into numberless branches, Always the free range and diversity--always the continent of Democracy; Always the prairies, pastures, forests, vast cities, travelers,     Kanada, the snows; Always these compact lands tied at the hips with the belt stringing     the huge oval lakes; Always the West with strong native persons, the increasing density there,     the habitans, friendly, threatening, ironical, scorning invaders; All sights, South, North, East--all deeds, promiscuously done at all times, All characters, movements, growths, a few noticed, myriads unnoticed, Through Mannahatta's streets I walking, these things gathering, On interior rivers by night in the glare of pine knots, steamboats     wooding up, Sunlight by day on the valley of the Susquehanna, and on the valleys     of the Potomac and Rappahannock, and the valleys of the Roanoke     and Delaware, In their northerly wilds beasts of prey haunting the Adirondacks the     hills, or lapping the Saginaw waters to drink, In a lonesome inlet a sheldrake lost from the flock, sitting on the     water rocking silently, In farmers' barns oxen in the stable, their harvest labor done, they     rest standing, they are too tired, Afar on arctic ice the she-walrus lying drowsily while her cubs play around, The hawk sailing where men have not yet sail'd, the farthest polar     sea, ripply, crystalline, open, beyond the floes, White drift spooning ahead where the ship in the tempest dashes, On solid land what is done in cities as the bells strike midnight together, In primitive woods the sounds there also sounding, the howl of the     wolf, the scream of the panther, and the hoarse bellow of the elk, In winter beneath the hard blue ice of Moosehead lake, in summer     visible through the clear waters, the great trout swimming, In lower latitudes in warmer air in the Carolinas the large black     buzzard floating slowly high beyond the tree tops, Below, the red cedar festoon'd with tylandria, the pines and     cypresses growing out of the white sand that spreads far and flat, Rude boats descending the big Pedee, climbing plants, parasites with     color'd flowers and berries enveloping huge trees, The waving drapery on the live-oak trailing long and low,     noiselessly waved by the wind, The camp of Georgia wagoners just after dark, the supper-fires and     the cooking and eating by whites and negroes, Thirty or forty great wagons, the mules, cattle, horses, feeding     from troughs, The shadows, gleams, up under the leaves of the old sycamore-trees,     the flames with the black smoke from the pitch-pine curling and rising; Southern fishermen fishing, the sounds and inlets of North     Carolina's coast, the shad-fishery and the herring-fishery, the     large sweep-seines, the windlasses on shore work'd by horses, the     clearing, curing, and packing-houses; Deep in the forest in piney woods turpentine dropping from the     incisions in the trees, there are the turpentine works, There are the negroes at work in good health, the ground in all     directions is cover'd with pine straw; In Tennessee and Kentucky slaves busy in the coalings, at the forge,     by the furnace-blaze, or at the corn-shucking, In Virginia, the planter's son returning after a long absence,     joyfully welcom'd and kiss'd by the aged mulatto nurse, On rivers boatmen safely moor'd at nightfall in their boats under     shelter of high banks, Some of the younger men dance to the sound of the banjo or fiddle,     others sit on the gunwale smoking and talking; Late in the afternoon the mocking-bird, the American mimic, singing     in the Great Dismal Swamp, There are the greenish waters, the resinous odor, the plenteous     moss, the cypress-tree, and the juniper-tree; Northward, young men of Mannahatta, the target company from an     excursion returning home at evening, the musket-muzzles all     bear bunches of flowers presented by women; Children at play, or on his father's lap a young boy fallen asleep,     (how his lips move! how he smiles in his sleep!) The scout riding on horseback over the plains west of the     Mississippi, he ascends a knoll and sweeps his eyes around; California life, the miner, bearded, dress'd in his rude costume,     the stanch California friendship, the sweet air, the graves one     in passing meets solitary just aside the horse-path; Down in Texas the cotton-field, the negro-cabins, drivers driving     mules or oxen before rude carts, cotton bales piled on banks     and wharves; Encircling all, vast-darting up and wide, the American Soul, with     equal hemispheres, one Love, one Dilation or Pride; In arriere the peace-talk with the Iroquois the aborigines, the     calumet, the pipe of good-will, arbitration, and indorsement, The sachem blowing the smoke first toward the sun and then toward     the earth, The drama of the scalp-dance enacted with painted faces and guttural     exclamations, The setting out of the war-party, the long and stealthy march, The single file, the swinging hatchets, the surprise and slaughter     of enemies; All the acts, scenes, ways, persons, attitudes of these States,     reminiscences, institutions, All these States compact, every square mile of these States without     excepting a particle; Me pleas'd, rambling in lanes and country fields, Paumanok's fields, Observing the spiral flight of two little yellow butterflies     shuffling between each other, ascending high in the air, The darting swallow, the destroyer of insects, the fall traveler     southward but returning northward early in the spring, The country boy at the close of the day driving the herd of cows and     shouting to them as they loiter to browse by the roadside, The city wharf, Boston, Philadelphia, Baltimore, Charleston, New     Orleans, San Francisco, The departing ships when the sailors heave at the capstan; Evening--me in my room--the setting sun, The setting summer sun shining in my open window, showing the     swarm of flies, suspended, balancing in the air in the centre     of the room, darting athwart, up and down, casting swift     shadows in specks on the opposite wall where the shine is; The athletic American matron speaking in public to crowds of listeners, Males, females, immigrants, combinations, the copiousness, the     individuality of the States, each for itself--the moneymakers, Factories, machinery, the mechanical forces, the windlass, lever,     pulley, all certainties, The certainty of space, increase, freedom, futurity, In space the sporades, the scatter'd islands, the stars--on the firm     earth, the lands, my lands, O lands! all so dear to me--what you are, (whatever it is,) I putting it     at random in these songs, become a part of that, whatever it is, Southward there, I screaming, with wings slow flapping, with the     myriads of gulls wintering along the coasts of Florida, Otherways there atwixt the banks of the Arkansaw, the Rio Grande,     the Nueces, the Brazos, the Tombigbee, the Red River, the     Saskatchawan or the Osage, I with the spring waters laughing     and skipping and running, Northward, on the sands, on some shallow bay of Paumanok, I with     parties of snowy herons wading in the wet to seek worms and     aquatic plants, Retreating, triumphantly twittering, the king-bird, from piercing     the crow with its bill, for amusement--and I triumphantly twittering, The migrating flock of wild geese alighting in autumn to refresh     themselves, the body of the flock feed, the sentinels outside     move around with erect heads watching, and are from time to time     reliev'd by other sentinels--and I feeding and taking turns     with the rest, In Kanadian forests the moose, large as an ox, corner'd by hunters,     rising desperately on his hind-feet, and plunging with his     fore-feet, the hoofs as sharp as knives--and I, plunging at the     hunters, corner'd and desperate, In the Mannahatta, streets, piers, shipping, store-houses, and the     countless workmen working in the shops, And I too of the Mannahatta, singing thereof--and no less in myself     than the whole of the Mannahatta in itself, Singing the song of These, my ever-united lands--my body no more     inevitably united, part to part, and made out of a thousand     diverse contributions one identity, any more than my lands     are inevitably united and made ONE IDENTITY; Nativities, climates, the grass of the great pastoral Plains, Cities, labors, death, animals, products, war, good and evil--these me, These affording, in all their particulars, the old feuillage to me     and to America, how can I do less than pass the clew of the union     of them, to afford the like to you? Whoever you are! how can I but offer you divine leaves, that you     also be eligible as I am? How can I but as here chanting, invite you for yourself to collect     bouquets of the incomparable feuillage of these States?"", ""These I singing in spring collect for lovers, (For who but I should understand lovers and all their sorrow and joy? And who but I should be the poet of comrades?) Collecting I traverse the garden the world, but soon I pass the gates, Now along the pond-side, now wading in a little, fearing not the wet, Now by the post-and-rail fences where the old stones thrown there,     pick'd from the fields, have accumulated, (Wild-flowers and vines and weeds come up through the stones and     partly cover them, beyond these I pass,) Far, far in the forest, or sauntering later in summer, before I     think where I go, Solitary, smelling the earthy smell, stopping now and then in the silence, Alone I had thought, yet soon a troop gathers around me, Some walk by my side and some behind, and some embrace my arms or neck, They the spirits of dear friends dead or alive, thicker they come, a     great crowd, and I in the middle, Collecting, dispensing, singing, there I wander with them, Plucking something for tokens, tossing toward whoever is near me, Here, lilac, with a branch of pine, Here, out of my pocket, some moss which I pull'd off a live-oak in     Florida as it hung trailing down, Here, some pinks and laurel leaves, and a handful of sage, And here what I now draw from the water, wading in the pondside, (O here I last saw him that tenderly loves me, and returns again     never to separate from me, And this, O this shall henceforth be the token of comrades, this     calamus-root shall, Interchange it youths with each other! let none render it back!) And twigs of maple and a bunch of wild orange and chestnut, And stems of currants and plum-blows, and the aromatic cedar, These I compass'd around by a thick cloud of spirits, Wandering, point to or touch as I pass, or throw them loosely from me, Indicating to each one what he shall have, giving something to each; But what I drew from the water by the pond-side, that I reserve, I will give of it, but only to them that love as I myself am capable     of loving.""]"
1,568,1_you_do_very_think,"['you', 'do', 'very', 'think', 'am', 'know', 'yes', 'well', 'replied', 'have']","['""I do not know.  I do not think they were.""', '""Oh! yes--did not you know?--Well, well, never mind.""', '""Oh! no, I am sure you are a great deal too kind to--but if you would just advise me what I had best do--No, no, I do not mean that--As you say, one\'s mind ought to be quite made up--One should not be hesitating--It is a very serious thing.--It will be safer to say `No,\' perhaps.--Do you think I had better say `No?\'""']"
2,505,2_saul_david_philistines_jonathan,"['saul', 'david', 'philistines', 'jonathan', 'samuel', 'israel', 'jesse', 'went', 'said', 'came']","[""26:17 And Saul knew David's voice, and said, Is this thy voice, my son David? And David said, It is my voice, my lord, O king."", '18:12 And Saul was afraid of David, because the LORD was with him, and was departed from Saul.', '24:16 And it came to pass, when David had made an end of speaking these words unto Saul, that Saul said, Is this thy voice, my son David? And Saul lifted up his voice, and wept.']"
3,459,3_sons_son_begat_family,"['sons', 'son', 'begat', 'family', 'duke', 'brethren', 'tribe', 'of', '26', 'caleb']","['6:44 And their brethren the sons of Merari stood on the left hand: Ethan the son of Kishi, the son of Abdi, the son of Malluch, 6:45 The son of Hashabiah, the son of Amaziah, the son of Hilkiah, 6:46 The son of Amzi, the son of Bani, the son of Shamer, 6:47 The son of Mahli, the son of Mushi, the son of Merari, the son of Levi.', '29:12 Then the Levites arose, Mahath the son of Amasai, and Joel the son of Azariah, of the sons of the Kohathites: and of the sons of Merari, Kish the son of Abdi, and Azariah the son of Jehalelel: and of the Gershonites; Joah the son of Zimmah, and Eden the son of Joah: 29:13 And of the sons of Elizaphan; Shimri, and Jeiel: and of the sons of Asaph; Zechariah, and Mattaniah: 29:14 And of the sons of Heman; Jehiel, and Shimei: and of the sons of Jeduthun; Shemaiah, and Uzziel.', '6:33 And these are they that waited with their children. Of the sons of the Kohathites: Heman a singer, the son of Joel, the son of Shemuel, 6:34 The son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah, 6:35 The son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai, 6:36 The son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah, 6:37 The son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah, 6:38 The son of Izhar, the son of Kohath, the son of Levi, the son of Israel.']"
4,436,4_caesar_brutus_bru_cassi,"['caesar', 'brutus', 'bru', 'cassi', 'haue', 'cassius', 'antony', 'heere', 'caesars', 'ant']","[""Bru. Be patient till the last. Romans, Countrey-men, and Louers, heare mee for my cause, and be silent, that you may heare. Beleeue me for mine Honor, and haue respect to mine Honor, that you may beleeue. Censure me in your Wisedom, and awake your Senses, that you may the better Iudge. If there bee any in this Assembly, any deere Friend of Caesars, to him I say, that Brutus loue to Caesar, was no lesse then his. If then, that Friend demand, why Brutus rose against Caesar, this is my answer: Not that I lou'd Caesar lesse, but that I lou'd Rome more. Had you rather Caesar were liuing, and dye all Slaues; then that Caesar were dead, to liue all Free-men? As Caesar lou'd mee, I weepe for him; as he was Fortunate, I reioyce at it; as he was Valiant, I honour him: But, as he was Ambitious, I slew him. There is Teares, for his Loue: Ioy, for his Fortune: Honor, for his Valour: and Death, for his Ambition. Who is heere so base, that would be a Bondman? If any, speak, for him haue I offended. Who is heere so rude, that would not be a Roman? If any, speak, for him haue I offended. Who is heere so vile, that will not loue his Countrey? If any, speake, for him haue I offended. I pause for a Reply"", ""Ser. Thus Brutus did my Master bid me kneele; Thus did Mark Antony bid me fall downe, And being prostrate, thus he bad me say: Brutus is Noble, Wise, Valiant, and Honest; Caesar was Mighty, Bold, Royall, and Louing: Say, I loue Brutus, and I honour him; Say, I fear'd Caesar, honour'd him, and lou'd him. If Brutus will vouchsafe, that Antony May safely come to him, and be resolu'd How Caesar hath deseru'd to lye in death, Mark Antony, shall not loue Caesar dead So well as Brutus liuing; but will follow The Fortunes and Affayres of Noble Brutus, Thorough the hazards of this vntrod State, With all true Faith. So sayes my Master Antony"", ""An. Friends, Romans, Countrymen, lend me your ears: I come to bury Caesar, not to praise him: The euill that men do, liues after them, The good is oft enterred with their bones, So let it be with Caesar. The Noble Brutus, Hath told you Caesar was Ambitious: If it were so, it was a greeuous Fault, And greeuously hath Caesar answer'd it. Heere, vnder leaue of Brutus, and the rest (For Brutus is an Honourable man, So are they all; all Honourable men) Come I to speake in Caesars Funerall. He was my Friend, faithfull, and iust to me; But Brutus sayes, he was Ambitious, And Brutus is an Honourable man. He hath brought many Captiues home to Rome, Whose Ransomes, did the generall Coffers fill: Did this in Caesar seeme Ambitious? When that the poore haue cry'de, Caesar hath wept: Ambition should be made of sterner stuffe, Yet Brutus sayes, he was Ambitious: And Brutus is an Honourable man. You all did see, that on the Lupercall, I thrice presented him a Kingly Crowne, Which he did thrice refuse. Was this Ambition? Yet Brutus sayes, he was Ambitious: And sure he is an Honourable man. I speake not to disprooue what Brutus spoke, But heere I am, to speake what I do know; You all did loue him once, not without cause, What cause with-holds you then, to mourne for him? O Iudgement! thou are fled to brutish Beasts, And Men haue lost their Reason. Beare with me, My heart is in the Coffin there with Caesar, And I must pawse, till it come backe to me""]"
5,379,5_24_23_20_22,"['24', '23', '20', '22', '21', '19', 'thou', 'shall', 'shalt', 'wicked']","['26:16 This day the LORD thy God hath commanded thee to do these statutes and judgments: thou shalt therefore keep and do them with all thine heart, and with all thy soul.', '24:19 And the people said unto me, Wilt thou not tell us what these things are to us, that thou doest so?  24:20 Then I answered them, The word of the LORD came unto me, saying, 24:21 Speak unto the house of Israel, Thus saith the Lord GOD; Behold, I will profane my sanctuary, the excellency of your strength, the desire of your eyes, and that which your soul pitieth; and your sons and your daughters whom ye have left shall fall by the sword.', '24:25 Also, thou son of man, shall it not be in the day when I take from them their strength, the joy of their glory, the desire of their eyes, and that whereupon they set their minds, their sons and their daughters, 24:26 That he that escapeth in that day shall come unto thee, to cause thee to hear it with thine ears?  24:27 In that day shall thy mouth be opened to him which is escaped, and thou shalt speak, and be no more dumb: and thou shalt be a sign unto them; and they shall know that I am the LORD.']"
6,272,6_elliot_anne_russell_lady,"['elliot', 'anne', 'russell', 'lady', 'walter', 'she', 'elizabeth', 'her', 'had', 'clay']","['There was one point which Anne, on returning to her family, would have been more thankful to ascertain even than Mr Elliot\'s being in love with Elizabeth, which was, her father\'s not being in love with Mrs Clay; and she was very far from easy about it, when she had been at home a few hours.  On going down to breakfast the next morning, she found there had just been a decent pretence on the lady\'s side of meaning to leave them.  She could imagine Mrs Clay to have said, that ""now Miss Anne was come, she could not suppose herself at all wanted;"" for Elizabeth was replying in a sort of whisper, ""That must not be any reason, indeed.  I assure you I feel it none. She is nothing to me, compared with you;""  and she was in full time to hear her father say, ""My dear madam, this must not be.  As yet, you have seen nothing of Bath.  You have been here only to be useful. You must not run away from us now.  You must stay to be acquainted with Mrs Wallis, the beautiful Mrs Wallis.  To your fine mind, I well know the sight of beauty is a real gratification.""', 'Anne was obliged to turn away, to rise, to walk to a distant table, and, leaning there in pretended employment, try to subdue the feelings this picture excited.  For a few moments her imagination and her heart were bewitched.  The idea of becoming what her mother had been; of having the precious name of ""Lady Elliot"" first revived in herself; of being restored to Kellynch, calling it her home again, her home for ever, was a charm which she could not immediately resist. Lady Russell said not another word, willing to leave the matter to its own operation; and believing that, could Mr Elliot at that moment with propriety have spoken for himself!--she believed, in short, what Anne did not believe.  The same image of Mr Elliot speaking for himself brought Anne to composure again.  The charm of Kellynch and of ""Lady Elliot"" all faded away.  She never could accept him. And it was not only that her feelings were still adverse to any man save one; her judgement, on a serious consideration of the possibilities of such a case was against Mr Elliot.', ""Anne kept her appointment; the others kept theirs, and of course she heard the next morning that they had had a delightful evening. She had been the only one of the set absent, for Sir Walter and Elizabeth had not only been quite at her ladyship's service themselves, but had actually been happy to be employed by her in collecting others, and had been at the trouble of inviting both Lady Russell and Mr Elliot; and Mr Elliot had made a point of leaving Colonel Wallis early, and Lady Russell had fresh arranged all her evening engagements in order to wait on her.  Anne had the whole history of all that such an evening could supply from Lady Russell.  To her, its greatest interest must be, in having been very much talked of between her friend and Mr Elliot; in having been wished for, regretted, and at the same time honoured for staying away in such a cause. Her kind, compassionate visits to this old schoolfellow, sick and reduced, seemed to have quite delighted Mr Elliot. He thought her a most extraordinary young woman; in her temper, manners, mind, a model of female excellence.  He could meet even Lady Russell in a discussion of her merits; and Anne could not be given to understand so much by her friend, could not know herself to be so highly rated by a sensible man, without many of those agreeable sensations which her friend meant to create.""]"
7,263,7_66_69_63_god,"['66', '69', '63', 'god', '71', '68', 'selah', 'my', 'thy', '59']","['66:8 O bless our God, ye people, and make the voice of his praise to be heard:', '66:16 Come and hear, all ye that fear God, and I will declare what he hath done for my soul.', '66:4 All the earth shall worship thee, and shall sing unto thee; they shall sing to thy name. Selah.']"
8,256,8_jesus_blind_ship_him,"['jesus', 'blind', 'ship', 'him', 'galilee', 'departed', 'disciples', 'healed', 'they', 'into']","['6:22 The day following, when the people which stood on the other side of the sea saw that there was none other boat there, save that one whereinto his disciples were entered, and that Jesus went not with his disciples into the boat, but that his disciples were gone away alone; 6:23 (Howbeit there came other boats from Tiberias nigh unto the place where they did eat bread, after that the Lord had given thanks:) 6:24 When the people therefore saw that Jesus was not there, neither his disciples, they also took shipping, and came to Capernaum, seeking for Jesus.', '6:16 And when even was now come, his disciples went down unto the sea, 6:17 And entered into a ship, and went over the sea toward Capernaum. And it was now dark, and Jesus was not come to them.', '8:38 Now the man out of whom the devils were departed besought him that he might be with him: but Jesus sent him away, saying, 8:39 Return to thine own house, and shew how great things God hath done unto thee. And he went his way, and published throughout the whole city how great things Jesus had done unto him.']"
